right_eye_image,left_eye_image,yaw,roll,pitch,screen_position_x,screen_position_y
gaze_estimation\calibration_results\right_eye_crop_20250422_234334.png,gaze_estimation\calibration_results\left_eye_crop_20250422_234334.png,-0.6519037028440526,-0.1376422528515775,-0.29172304547962824,0.5,0.5
gaze_estimation\calibration_results\right_eye_crop_20250422_234334.png,gaze_estimation\calibration_results\left_eye_crop_20250422_234334.png,-0.45857444039587447,0.7229331699140005,0.019350621199151874,0.5,0.5
gaze_estimation\calibration_results\right_eye_crop_20250422_234335.png,gaze_estimation\calibration_results\left_eye_crop_20250422_234335.png,1.1862892455575775,0.36884636369018153,0.3315309354735092,0.27654969875488966,0.3222851405302044
gaze_estimation\calibration_results\right_eye_crop_20250422_234336.png,gaze_estimation\calibration_results\left_eye_crop_20250422_234336.png,0.1523764538132194,-410.2830443417972,0.14140668704347092,0.10416666666666667,0.18518518518518517
gaze_estimation\calibration_results\right_eye_crop_20250422_234337.png,gaze_estimation\calibration_results\left_eye_crop_20250422_234337.png,-1.9956828466728447,-358.7305213689841,-2.4294420376224792,0.3697916666666667,0.18518518518518517
gaze_estimation\calibration_results\right_eye_crop_20250422_234338.png,gaze_estimation\calibration_results\left_eye_crop_20250422_234338.png,-1.4023258058875778,-358.1038834153519,-1.6342832901182334,0.5,0.18518518518518517
gaze_estimation\calibration_results\right_eye_crop_20250422_234339.png,gaze_estimation\calibration_results\left_eye_crop_20250422_234339.png,-1.2331564242254909,0.09802783266115966,-2.2842500090978604,0.8541666666666666,0.18518518518518517
gaze_estimation\calibration_results\right_eye_crop_20250422_234340.png,gaze_estimation\calibration_results\left_eye_crop_20250422_234340.png,-0.4580044017038116,0.9537927080362465,-1.8620481939342568,0.8958333333333334,0.18518518518518517
gaze_estimation\calibration_results\right_eye_crop_20250422_234341.png,gaze_estimation\calibration_results\left_eye_crop_20250422_234341.png,-0.45826328316888054,-411.0834937607409,-2.4164737657405624,0.4485531748568879,0.36305097919920903
gaze_estimation\calibration_results\right_eye_crop_20250422_234341.png,gaze_estimation\calibration_results\left_eye_crop_20250422_234341.png,-0.2765867725470803,-317.81963448263275,-1.7098971850387557,0.4485531748568879,0.36305097919920903
gaze_estimation\calibration_results\right_eye_crop_20250422_234342.png,gaze_estimation\calibration_results\left_eye_crop_20250422_234342.png,-0.027276714070014082,-359.5534559846068,-1.3538945554551276,0.10416666666666667,0.5
gaze_estimation\calibration_results\right_eye_crop_20250422_234342.png,gaze_estimation\calibration_results\left_eye_crop_20250422_234342.png,0.37461341797095576,-358.91348653483504,-0.4930015218566979,0.10416666666666667,0.5
gaze_estimation\calibration_results\right_eye_crop_20250422_234343.png,gaze_estimation\calibration_results\left_eye_crop_20250422_234343.png,-0.9116327878895871,-358.6442211348125,-1.8105904099930399,0.21875,0.5
gaze_estimation\calibration_results\right_eye_crop_20250422_234344.png,gaze_estimation\calibration_results\left_eye_crop_20250422_234344.png,-1.7338035948113095,-359.34560615963585,-2.1813194541474275,0.5,0.5
gaze_estimation\calibration_results\right_eye_crop_20250422_234344.png,gaze_estimation\calibration_results\left_eye_crop_20250422_234344.png,-1.4180938324102341,-358.5741158060243,-1.6950047689387588,0.5,0.5
gaze_estimation\calibration_results\right_eye_crop_20250422_234345.png,gaze_estimation\calibration_results\left_eye_crop_20250422_234345.png,0.19160899219865735,0.8610944442077084,-0.8680814509261552,0.6458333333333334,0.5
gaze_estimation\calibration_results\right_eye_crop_20250422_234346.png,gaze_estimation\calibration_results\left_eye_crop_20250422_234346.png,0.42872101113155653,-328.59729270619573,-0.5645317959212406,0.8958333333333334,0.5
gaze_estimation\calibration_results\right_eye_crop_20250422_234347.png,gaze_estimation\calibration_results\left_eye_crop_20250422_234347.png,-0.3654980508286743,0.08575162144467185,-2.2745932296791977,0.6315314215063429,0.6051025146446517
gaze_estimation\calibration_results\right_eye_crop_20250422_234348.png,gaze_estimation\calibration_results\left_eye_crop_20250422_234348.png,0.3049954784261525,0.8292535587150098,-0.5991415735151122,0.10416666666666667,0.8148148148148148
gaze_estimation\calibration_results\right_eye_crop_20250422_234349.png,gaze_estimation\calibration_results\left_eye_crop_20250422_234349.png,-0.5706299659950067,0.2181848728958471,-2.0692417910900076,0.10416666666666667,0.8148148148148148
gaze_estimation\calibration_results\right_eye_crop_20250422_234350.png,gaze_estimation\calibration_results\left_eye_crop_20250422_234350.png,-0.568588353621019,0.8551184389255582,-1.735533063024718,0.5,0.8148148148148148
gaze_estimation\calibration_results\right_eye_crop_20250422_234351.png,gaze_estimation\calibration_results\left_eye_crop_20250422_234351.png,-0.2880844885525453,0.15115643518441857,-1.638349611114407,0.5,0.8148148148148148
gaze_estimation\calibration_results\right_eye_crop_20250422_234352.png,gaze_estimation\calibration_results\left_eye_crop_20250422_234352.png,-0.06969534614294437,-317.8767209233242,-0.25429839715563674,0.8958333333333334,0.8148148148148148
gaze_estimation\calibration_results\right_eye_crop_20250422_234353.png,gaze_estimation\calibration_results\left_eye_crop_20250422_234353.png,0.7299501647565015,0.8311338749448112,-0.20528273305035327,0.8586967487182885,0.7812253893540334
gaze_estimation\calibration_results\right_eye_crop_20250422_234353.png,gaze_estimation\calibration_results\left_eye_crop_20250422_234353.png,0.46730978974092047,0.1956187355073098,-0.4623149785823699,0.8540546756414078,0.7770267111714356
gaze_estimation\calibration_results\right_eye_crop_20250422_234354.png,gaze_estimation\calibration_results\left_eye_crop_20250422_234354.png,-1.4915160764423783,-358.13603690421553,-1.565409895483171,0.005208333333333333,0.009259259259259259
gaze_estimation\calibration_results\right_eye_crop_20250422_234355.png,gaze_estimation\calibration_results\left_eye_crop_20250422_234355.png,-2.032527024146888,-358.06743310285526,-1.157350975116259,0.005208333333333333,0.009259259259259259
gaze_estimation\calibration_results\right_eye_crop_20250422_234356.png,gaze_estimation\calibration_results\left_eye_crop_20250422_234356.png,-0.6356005422045442,-359.1578793330033,-2.504017332177014,0.4895833333333333,0.009259259259259259
gaze_estimation\calibration_results\right_eye_crop_20250422_234357.png,gaze_estimation\calibration_results\left_eye_crop_20250422_234357.png,-0.4603201997317945,-358.28240829100093,-2.3857358689251384,0.9947916666666666,0.009259259259259259
gaze_estimation\calibration_results\right_eye_crop_20250422_234358.png,gaze_estimation\calibration_results\left_eye_crop_20250422_234358.png,0.5667071145496501,-29.8937543937449,-1.9409238890670366,0.9947916666666666,0.009259259259259259
